Name,Url,Authority,Started On,Finished On,License Number
Advanced Java Programming,https://www.linkedin.com/learning/certificates/3e5a641b702fc86e32e95b4536909f8cc48c9d573a873a30e78a97b4f9babf6e,LinkedIn,Jun 2024,,
Spring Boot 2.0 Essential Training,https://www.linkedin.com/learning/certificates/efa42ad474f12aaac949c3243f851f46c4ecb0a432b25295cc0d1766cb3ae609,LinkedIn,Jun 2024,,
Pep Talk Before You Attend a Networking Event,https://www.linkedin.com/learning/certificates/ef207623c49118eea8eb8f0c79fde0d2a92cf4d0d7f528d777a9b7dec7a8fa11,LinkedIn,Jun 2024,,
Building Real-Time Web Apps with Spring Boot and WebSockets,https://www.linkedin.com/learning/certificates/892d1533a07c0a3c25d77ce63aeb62f85dfbe7e86f7ba004a0ae9621832a30b1,LinkedIn,Jul 2024,,
Learning REST APIs,https://www.linkedin.com/learning/certificates/1fa23c10b4b6498056cbf459f652eade319199b7e9409c02b7610957a4dcfc2a,LinkedIn,Jul 2024,,
Designing RESTful APIs,https://www.linkedin.com/learning/certificates/ab70cbbceaea6d583314c4c61a567cdfb61c89178bb615151e239595e10ecf3b,LinkedIn,Jul 2024,,
Microservices Foundations,https://www.linkedin.com/learning/certificates/62b6f674dd936a4d609bfa3f9efe586d44084e03b9093ab429ae66802777b9cf,LinkedIn,Jul 2024,,
Introduction to VMware,https://www.linkedin.com/learning/certificates/b2b5c605f827f59d4fe07d93a9ca5d8a15ecd314556585069cb4293bf54074bd,LinkedIn,Aug 2025,,
Top 10 Skills for AI Engineer/AI Ops Engineers,https://www.linkedin.com/learning/certificates/f4d10bf28ad26790db61ad99264338ac9db0e17ab5b86154574250fc4a47a445,LinkedIn,Aug 2025,,
Processing Text with Python Essential Training,https://www.linkedin.com/learning/certificates/5adadc0dc2c5b2e59f213c0175e0b53bbe3e3c5be9c418e99b14c9a3d4a7c0da,LinkedIn,Sep 2025,,
How to Be an Adaptable Employee during Change and Uncertainty,https://www.linkedin.com/learning/certificates/e8cc8669dc254ce106a17fd160b523dfbc5bf7df8caedda2412ffedec7044aeb,LinkedIn,Sep 2025,,
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 1 Cloud Concepts,https://www.linkedin.com/learning/certificates/f90a73bd4c62f6e0d86e6af149ab4f82440712640272b05b23d45a9aeaee3e6c,LinkedIn,Sep 2025,,
Hands-On Natural Language Processing,https://www.linkedin.com/learning/certificates/02186febd678bb5de27e7753d8697b341160bd52702de29fdfa0c95f40de8157,LinkedIn,Oct 2025,,
Creating Success from Failures,https://www.linkedin.com/learning/certificates/78c627516eb9de03e5d21a3e0d3a61ee9fc3ca9b7c5c0d20a83e0cc7b9da97e2,LinkedIn,Oct 2025,,
Building Resilience,https://www.linkedin.com/learning/certificates/e428e2f66e316120d1f549b48ab3bb6e0e99f209cbdbb0d226dc12cbcb413d5b,LinkedIn,Oct 2025,,
DevOps Foundations,https://www.linkedin.com/learning/certificates/3665a1e093c8cd77342ac10482a4ee67e3d8f2d4c52950c8965a7c123289328e,LinkedIn,Oct 2025,,
Learning GitLab,https://www.linkedin.com/learning/certificates/d26181412d2aa68647317a5bc498807ff35953a16996f35d03e0ae3139ae8393,LinkedIn,Oct 2025,,
Introduction to Business Analytics,https://www.linkedin.com/learning/certificates/7e58fbc165693d45a992487fb3797711e78bea611acc4ad1ed673b4206c13c2f,LinkedIn,Nov 2025,,
Artificial Intelligence Foundations: Machine Learning,https://www.linkedin.com/learning/certificates/7b83c8f6960f2c2be148190d4e3bc751151adcbad74648de17317b7edad06389,LinkedIn,Nov 2025,,
Agile Foundations,https://www.linkedin.com/learning/certificates/2f0f522157659b2a6402a625d2d81731b966799d4c552047f783ba174ee0967c,LinkedIn,Nov 2025,,
Excel: Power Pivot for Beginners,https://www.linkedin.com/learning/certificates/e04b6e8187f96ccc794c112dcef778c84ea3fc56acf94b418dba9846b1a3f22f,LinkedIn,Nov 2025,,
Agile: It's Not Just for Software,https://www.linkedin.com/learning/certificates/15ddf6566f743cb04d57888b5f5c6b381671d2bc1a6f7ebdf3123475b4dc1a75,LinkedIn,Nov 2025,,
Insider Threat Risk Management,https://www.linkedin.com/learning/certificates/b883b56ff9c3d3293eb28250ee95a876b72726957ec3862af4fab10991599231,LinkedIn,Nov 2025,,
Machine Learning and AI Foundations: Classification Modeling,https://www.linkedin.com/learning/certificates/c2d81bb734dda80d5bed704ad24ee11c86f940306c4ff1149d60649de384838b,LinkedIn,Nov 2025,,
Requirements Elicitation and Analysis,https://www.linkedin.com/learning/certificates/17ecd8daf6736b378ea830f640cd39773d98014f33135dc0f563a863f4e24e6a,LinkedIn,Nov 2025,,
DevOps Foundations: Monitoring and Observability,https://www.linkedin.com/learning/certificates/3e3f839625bc286d2c144379a16bceb8546b1d7d8ea1f2d228ae243d92a32eaf,LinkedIn,Nov 2025,,
Machine Learning with Scikit-Learn,https://www.linkedin.com/learning/certificates/61d48ec46d040d90ebf952808190153fa5da55b751a2919b9d05d5923b0dc213,LinkedIn,Nov 2025,,
Asking Effective Questions During Requirements Elicitation,https://www.linkedin.com/learning/certificates/d8bb384771e2d85db58174dc6672d44a1c31278f4669036921fa58d699f9486b,LinkedIn,Nov 2025,,
Machine Learning Foundations: Statistics,https://www.linkedin.com/learning/certificates/4018d428d6cd8c015aad24b90db983e9e7aa674390364d85717ad497d1dd05e9,LinkedIn,Nov 2025,,
