Question,Answer
Are you legally authorized to work in CA?,Yes
How many years of work experience do you have with Azure AI Foundry?,1
How many years of work experience do you have with Agent Development?,1
Veteran status,
How many years of work experience do you have with Full-Stack Development?,1
How many years of PRDM experience do you currently have?,0
Cover letter,
How many years of work experience do you have with Java?,2
How many years of work experience do you have with Spring Framework?,2
We must fill this position urgently. Can you start immediately?,Yes
Have you completed the following level of education: Master's Degree?,Yes
How many years of work experience do you have with Oracle Cloud?,0
How many years of work experience do you have with JSON?,1
Description,
How many years of IT experience do you currently have?,5
How many years of work experience do you have with SQL?,2
How many years of work experience do you have with Microsoft Azure?,0
Major / Field of study,
How many years of work experience do you have with R (Programming Language)?,2
<strong>Disability</strong>,
How many years of work experience do you have with AI for IT Operations (AIOps)?,1
How many years of work experience do you have with Microsoft Excel?,1
How many years of work experience do you have with Agentic AI Development?,2
State / Province,
Are you legally authorized to work in gb?,Yes
First name,
How many years of work experience do you have with Retrieval-Augmented Generation (RAG)?,1
How many years of work experience do you have with REST APIs?,2
How many years of work experience do you have with Customer Relationship Management (CRM)?,0
School,
What is your level of proficiency in chi?,None
How many years of work experience do you have with NoSQL?,1
How many years of work experience do you have with Machine Tools?,2
State,
How many years of work experience do you have with Azure SQL?,1
How many years of work experience do you have with Platform Engineering?,1
City,
How many years of work experience do you have with Microsoft Azure Machine Learning?,1
Please submit a resume or LinkedIn profile, -672571243.pdf
Are you comfortable working in a hybrid setting?,Yes
How many years of work experience do you have with Node.js?,1
How many years of work experience do you have with Google Cloud Platform (GCP)?,0
How many years of work experience do you have with Dataiku DSS?,0
How many years of work experience do you have with Marketing Technology?,1
Have you completed the following level of education: Master of Business Administration?,No
Company,
How many years of work experience do you have with Software Engineering Practices?,2
ZIP / Postal Code,
Last name,
How many years of work experience do you have with IT systems development?,2
How many years of work experience do you have with SQL Server Integration Services (SSIS)?,1
How many years of work experience do you have with React.js?,1
How many years of work experience do you have with Large Language Models (LLM)?,2
Country,
How many years of work experience do you have with Azure AI Studio?,1
How many years of work experience do you have with Machine Learning?,2
How many years of work experience do you have with Artificial Intelligence (AI)?,2
Degree,
How many years of ENG experience do you currently have?,2
Race/Ethnicity,
How many years of work experience do you have with Snowflake?,1
How many years of work experience do you have with VBA Excel?,1
How many years of work experience do you have with SnapLogic iPaaS?,0
How many years of work experience do you have with TensorFlow?,3
How many years of work experience do you have with PyTorch?,3
Your title,
How many years of work experience do you have with C++?,2
Location (city),
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Gender,
Street address line 1,
How many years of work experience do you have with XML?,1
Are you comfortable working in an onsite setting?,Yes
How many years of urn:li:industry:4 experience do you currently have?,2
How many years of work experience do you have with Generative AI?,2
Have you completed the following level of education: Bachelor's Degree?,Yes
