Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Communicating with Empathy,"<p>In this course, learn strategies to foster empathetic communication and enhance your ability to connect with others deeply and authentically. Corporate empathy and communications consultant Sharon Steed explains how vulnerability drives empathy, shows you how to recognize your communication style, and illustrates ways you can overcome obstacles to empathy. Sharon also shares valuable tips for practicing empathetic communication in various contexts, including online and across generational and cultural divides.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2025-11-12 09:55 UTC,2025-11-12 09:54 UTC,false,N/A,
Communication Tips to Accelerate Your Career,"<p>Communication skills are essential for career growth, regardless of your industry or field. This course offers twelve essential communication tips on how to speak with impact, make your wins visible, successfully present your ideas, and build trust in order to develop a strong professional reputation, make lasting connections, and accelerate your career.</p><p>Join Emmy-award winning keynote speaker and communications advisor Jessica Chen as she provides an overview of the most essential communication skills and techniques required for long-term career growth. By the end of this course, you’ll be equipped with practical strategies to communicate more intentionally and effectively with others.</p>",Course,2024-06-26 11:27 UTC,N/A,false,N/A,
Build a CI/CD Pipeline,"<p>Software is at the center of our world and touches nearly everything we do. The world depends on great software and access to features at the speed of innovation. Agile processes and mindsets help teams build features iteratively and get feedback quickly to apply learning and correct courses; however, without concepts like DevOps to remind us of what's possible, feedback and innovation hit a dead end or an unnatural pause. To consider yourself or your team truly agile, you must embrace the concept of continuous delivery in its fullness. Continuous delivery is not a goal but a direction. By walking in the direction of continuous delivery, you get closer and closer on a daily basis to reaching a cadence where features and feedback truly move to users at the speed of innovation. Continuous Delivery is at the core of DevOps. If your development team is still dealing with manual and repetitive build- or deployment-related tasks, this course is for you.</p><P>Note: This course was created by Pearson. We are pleased to host this training in our library.",Course,2026-05-06 08:35 UTC,N/A,false,N/A,
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2024-07-01 11:48 UTC,N/A,false,N/A,
Building Career Agility and Resilience in the Age of AI (2023),"Artificial intelligence is rapidly changing the world, and there’s a growing apprehension about its effects in our personal and professional lives. In this course, futurist and agility expert Chris Shipley examines how you can reimagine your career to adapt and find success in the age of AI. Chris first takes you through AI technologies and how they may impact work, ways to proactively adapt to these technologies, and skills to develop a ""future-proof career mindset."" Chris then guides you on the importance of continuing to learn about AI and how to do it; developing human skills that will help you stand out; creating a robust and diverse network to navigate disruption; strategies to adapt in your current role; finding ways to harness the power of AI; and driving your career forward (no matter how the world changes) with meaning, energy, and your personal strengths.",Course,2024-06-28 11:27 UTC,N/A,false,N/A,
Programming Foundations: Data Structures,"This course provides a comprehensive introduction to fundamental data structures, equipping you with the skills you need to implement and utilize arrays, lists, dictionaries, stacks, and queues effectively. Through hands-on exercises and real-world examples, instructor Kathryn Hodge shows you each of how these structures operate, including their efficiency in terms of time and space complexity. An ideal fit for learners new to programming, this course emphasizes practical applications, enabling you to solve common software problems such as searching, sorting, and data management. Additionally, you'll learn to analyze the trade-offs of different data structures and apply this knowledge to design scalable and efficient solutions. By the end of the course, you'll have the tools and know-how to start tackling complex programming challenges with confidence.",Course,2026-05-20 10:17 UTC,N/A,false,N/A,
Foundational Math for Generative AI: Understanding LLMs and Transformers through Practical Applications,"Unlock the mysteries behind the models powering today’s most advanced AI applications. In this course, instructor Axel Sirota takes you beyond just using large language models (LLMs) like BERT or GPT and highlights the mathematical foundations of generative AI. Explore the challenge of sentiment analysis with simple recurrent neural networks (RNNs) and progressively evolve your approach as you gain a deep understanding of attention mechanisms, transformers, and models. Through intuitive explanations and hands-on coding exercises, Axel outlines why attention revolutionized natural language processing, and how transformers reshaped the field by eliminating the need for RNNs altogether. Along the way, get tips on fine-tuning pretrained models, applying cutting-edge techniques like low-rank adaptation (LoRA), and leveraging your newly acquired skills to build smarter, more efficient models and innovate in the fast-evolving world of AI.",Course,2025-12-31 10:46 UTC,2025-12-31 10:44 UTC,false,N/A,
Level Up: Advanced Python,"<p>Python has quickly become one of the most popular programming languages in the world. If you’re looking to land a new role or stand out from the rest of the crowd, you need to develop your advanced coding skills. Discover integrated Python coding challenges to test your understanding of advanced Python concepts, following along with instructor Jonathan Fernandes, a results-driven data science consultant. Find out more about what it takes to bridge your knowledge gap to the next level, learning how to write highly advanced, production-level code that’s clean, effective, and dynamic. Upon completing this course, you’ll be prepared to leverage your new coding skills in your current or future role.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.<br><br>Each installment of the <em>Level Up</em> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.</p>",Course,2025-11-18 11:02 UTC,N/A,false,N/A,
DevOps Foundations: Lean and Agile,"Discover how to enhance your DevOps software delivery process with agile and lean principles. Join industry experts Ernest Mueller and Karthik Gaekwad as they delve into the core concepts, techniques, and real-world applications of these powerful systems. Learn how to optimize your team's workflow, reduce lead time, and improve the overall quality of your software. Check out this course to learn about implementing agile and lean practices in your organization, leading to faster time-to-market, increased customer satisfaction, and improved business outcomes.",Course,2025-11-06 15:57 UTC,2025-11-06 15:55 UTC,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-08-06 17:53 UTC,N/A,false,N/A,
